messages
If you see someone without a smile today. Give them yours :)
Be the change that you want to see in the world
Just keep swimming
"Be yourself, everyone else is already taken"
You rock harder than Dwanye the Rock Johnson
"don't worry, be happy!"
Your smile can brighten a room
Ur mom is beautiful <3
everyday day is a good day with the right attitude! 
I hope you have a wonderful day!
The only thing that is impossible is impossibility itself
It always seems impossible until it is done.
Keep your face to the sunshine and you cannot see a shadow
"Everyday may not be good, but there's something good in every day"
